INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO
297684-6,R  ALZIRA PARENTE 380  LAGOA REDONDA FORTALEZA - CE CEP:60000000,CONGREGACAO PENIEL DE FORTALEZA,Imunidade,Templos Religiosos
50987-6,R  DA ASSUNCAO 939  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050011,CONGREGACAO PENIEL DE FORTALEZA,Imunidade,Templos Religiosos
210265-0,R  TRES DE MAIO 1299  BELA VISTA FORTALEZA - CE CEP:60442202,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,Imunidade,Templos Religiosos
8585-5,R  FRANCISCA CLOTILDE 680  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,Imunidade,Templos Religiosos
30457-3,R DOM EXPEDITO LOPES 2104  DIONÍSIO TORRES FORTALEZA - CE CEP:60764000,CONSELHO CENTRAL DE FORTALEZA DA SOC DE S VICENTE DE PAULO,Imunidade,Templos Religiosos
128877-6,R  CARLOS WALRAVEN 367  JARDIM GUANABARA FORTALEZA - CE CEP:60346672,CONSELHO COMUNITARIO JARDIM GUANABARA,Imunidade,Templos Religiosos
328490-5,AV DOM LUIS 350  ALDEOTA FORTALEZA - CE CEP:60160196,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,Imunidade,Templos Religiosos
451723-7,R VIS DE MAUA 415  ALDEOTA FORTALEZA - CE CEP:60125160,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,Imunidade,Templos Religiosos
489390-5,AV DOM LUIS 348  ALDEOTA FORTALEZA - CE CEP:60160196,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,Imunidade,Templos Religiosos
455014-5,R VIS DE MAUA 823  ALDEOTA FORTALEZA - CE CEP:60125058,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,Imunidade,Templos Religiosos
489389-1,AV DOM LUIS 334  ALDEOTA FORTALEZA - CE CEP:60160196,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,Imunidade,Templos Religiosos
7856-5,R  FRANCISCA CLOTILDE 839  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51159-5,R  SOLON PINHEIRO 1045  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
14927-6,R  GRIJALVA COSTA 113  JARDIM AMÉRICA FORTALEZA - CE CEP:60410437,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
43898-7,AV  DOMINGOS OLIMPIO 2027  FARIAS BRITO FORTALEZA - CE CEP:60015103,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51167-6,R  SOLON PINHEIRO 1017  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
43900-2,AV  DOMINGOS OLIMPIO 2019  FARIAS BRITO FORTALEZA - CE CEP:60015103,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51139-0,R  JOAQUIM MAGALHAES 28  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51155-2,R  JOAQUIM MAGALHAES 1031  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7845-0,R  ALEXANDRE BARAUNA 1460  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7854-9,R  FRANCISCA CLOTILDE 849  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51146-3,R  JOAQUIM MAGALHAES 499  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51153-6,R  JOAQUIM MAGALHAES 12  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51202-8,R BAR DE ARATANHA 760  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050071,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51204-4,R BAR DE ARATANHA 764  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050071,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7848-4,R  ALEXANDRE BARAUNA 1468  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
10554-6,R  TEODORETO SOUTO 1150  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430730,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51136-6,R  JOAQUIM MAGALHAES 20  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
122859-5,R PRC DE NASSAU 22  FLORESTA FORTALEZA - CE CEP:60340095,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
93161-6,R  VICENTE SABOIA 140  ÁLVARO WEYNE FORTALEZA - CE CEP:60335010,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7852-2,R  FRANCISCA CLOTILDE 865  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51156-0,R  JOAQUIM MAGALHAES 1022  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51134-0,R  JOAQUIM MAGALHAES 5  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51145-5,R  JOAQUIM MAGALHAES 21  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51135-8,R  JOAQUIM MAGALHAES 7  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7847-6,R  ALEXANDRE BARAUNA 1464  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
43901-0,AV  DOMINGOS OLIMPIO 2015  FARIAS BRITO FORTALEZA - CE CEP:60015103,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51151-0,R  JOAQUIM MAGALHAES 9  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51138-2,R  JOAQUIM MAGALHAES 26  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51152-8,R  JOAQUIM MAGALHAES 24  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51157-9,R  JOAQUIM MAGALHAES 1017  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51158-7,R  JOAQUIM MAGALHAES 1015  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7844-1,R  ALEXANDRE BARAUNA 1458  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
43899-5,AV  DOMINGOS OLIMPIO 2023  FARIAS BRITO FORTALEZA - CE CEP:60015103,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51147-1,R  JOAQUIM MAGALHAES 9  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51140-4,R  JOAQUIM MAGALHAES 19  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51161-7,R  SOLON PINHEIRO 1039  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
93162-4,R  VICENTE SABOIA 144  ÁLVARO WEYNE FORTALEZA - CE CEP:60335010,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7851-4,R  FRANCISCA CLOTILDE 867  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
10553-8,R  TEODORETO SOUTO 1146  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430730,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7853-0,R  FRANCISCA CLOTILDE 851  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51154-4,R  JOAQUIM MAGALHAES 1033  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7843-3,R  ALEXANDRE BARAUNA 1456  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
43897-9,AV  DOMINGOS OLIMPIO 2031  FARIAS BRITO FORTALEZA - CE CEP:60015103,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51144-7,R  JOAQUIM MAGALHAES 23  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7849-2,R  FRANCISCA CLOTILDE 871  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7846-8,R  ALEXANDRE BARAUNA 1462  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7857-3,R  FRANCISCA CLOTILDE 833  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7858-1,R  FRANCISCA CLOTILDE 829  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51137-4,R  JOAQUIM MAGALHAES 22  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
71793-2,R  JAIME BENEVOLO 51  CENTRO FORTALEZA - CE CEP:60050080,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
7850-6,R  FRANCISCA CLOTILDE 869  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
51148-0,R  JOAQUIM MAGALHAES 15  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
43903-7,AV  DOMINGOS OLIMPIO 2007  FARIAS BRITO FORTALEZA - CE CEP:60015103,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,Imunidade,Templos Religiosos
30119-1,R  MARIO MAMEDE 750  FÁTIMA FORTALEZA - CE CEP:60415000,CONSELHO PAROQUIAL NOSSA SENHORA DE FATIMA,Imunidade,Templos Religiosos
378547-5,R  PEDRO PEREIRA 460  303 CENTRO FORTALEZA - CE CEP:60035000,DIACONIA,Imunidade,Templos Religiosos
378546-7,R  PEDRO PEREIRA 460  302 CENTRO FORTALEZA - CE CEP:60035000,DIACONIA,Imunidade,Templos Religiosos
77307-7,R  PEDRO PEREIRA 460  301 CENTRO FORTALEZA - CE CEP:60035000,DIACONIA,Imunidade,Templos Religiosos
254236-6,R  VITORIANO BORGES 387  SERRINHA FORTALEZA - CE CEP:60741370,DIOCESE DE TIANGUA,Imunidade,Templos Religiosos
403574-7,R  HIL MORAES 130  EDSON QUEIROZ FORTALEZA - CE CEP:60811760,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,Imunidade,Templos Religiosos
204958-9,R  MARIO DE ANDRADE 1225  BELA VISTA FORTALEZA - CE CEP:60442132,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,Imunidade,Templos Religiosos
343464-8,AV ENG ALBERTO SA 80  PAPICU FORTALEZA - CE CEP:60175395,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,Imunidade,Templos Religiosos
493191-2,R  CARNEIRO DA CUNHA 110  5-A JACARECANGA FORTALEZA - CE CEP:60010470,EMPREENDIMENTO EDUCACIONAL MARACANAU LTDA,Imunidade,Templos Religiosos
45027-8,AV  DO IMPERADOR   SN FARIAS BRITO FORTALEZA - CE CEP:60015052,ESCOLA SAO RAFAEL 1 E 2 GRAUS,Imunidade,Templos Religiosos
204174-0,R  MARIO DE ANDRADE   SN BELA VISTA FORTALEZA - CE CEP:60442132,ESPOLIO DE FRANCISCO PEREIRA DE ALMEIDA,Imunidade,Templos Religiosos
223614-1,AV  OSCAR ARARIPE 3283  GRANJA LISBOA FORTALEZA - CE CEP:60540442,ESPÓLIO DE THEODORO DE CASTRO MOURA,Imunidade,Templos Religiosos
67648-9,R PRC ISABEL 255  CENTRO FORTALEZA - CE CEP:60015060,FEDERACAO ESPIRITA DO ESTADO DO CEARA FEEC,Imunidade,Templos Religiosos
95690-2,R  FILIPE CAMARAO 874  CRISTO REDENTOR FORTALEZA - CE CEP:60337620,FRANCILEIDE NASCIMENTO DE CASTRO,Imunidade,Templos Religiosos
159966-6,R  ISAIE BORIS 336  MONTESE FORTALEZA - CE CEP:60410160,FRANCISCA CARNEIRO DE SOUZA,Imunidade,Templos Religiosos
404730-3,TV  BENEDITO SOBRINHO 20  VILA PERY FORTALEZA - CE CEP:60000000,FRANCISCO DE ASSIS OLIVEIRA,Imunidade,Templos Religiosos
163556-5,R  MATOS VASCONCELLOS 886  DAMAS FORTALEZA - CE CEP:60440018,FRANCISCO SANDRO MARTINS,Imunidade,Templos Religiosos
51749-6,R BAR DE ARATANHA 499  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050071,FRATERNIDADE DA ORDEM FRANCISCANA SECULAR OFS,Imunidade,Templos Religiosos
431463-8,AV MAJ ASSIS 2333  VILA VELHA FORTALEZA - CE CEP:60345631,FUNDACAO BEZERRA DE MENEZES,Imunidade,Templos Religiosos
508813-5,R  JOSE LUCAS 952  MONDUBIM FORTALEZA - CE CEP:60760305,GRUPO DE RENOVACAO ESPIRITUAL ALLAN KARDEK,Imunidade,Templos Religiosos
500526-4,R  A (CJ NOVA FORTALEZA)   Q-06 L-26 JANGURUSSU FORTALEZA - CE CEP:60868858,GRUPO ESPIRITA AVE LUZ,Imunidade,Templos Religiosos
500527-2,R  A (CJ NOVA FORTALEZA) 1510  JANGURUSSU FORTALEZA - CE CEP:60868858,GRUPO ESPIRITA AVE LUZ,Imunidade,Templos Religiosos
257382-2,R  ROSA CRUZ 1033  PARTESDOSLOTES79E81 MARAPONGA FORTALEZA - CE CEP:60711735,GRUPO ESPIRITA BEM-VINDO A CARIDADE,Imunidade,Templos Religiosos
537153-8,R  JOSE CAMELO 32  PARANGABA FORTALEZA - CE CEP:60740750,GRUPO ESPIRITA HORIZONTES DA VIDA-GEHV,Imunidade,Templos Religiosos
22774-9,TV PDE ANTONINO 451  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110480,GRUPO ESPIRITA PAULO E ESTEVAO,Imunidade,Templos Religiosos
262637-3,R  LUIZA MIRANDA COELHO 743  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811110,GRUPO ESPIRITA PAULO E ESTEVAO,Imunidade,Templos Religiosos
59024-0,AV  F (CONJ. PREF. JOSE WALTER) 421  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750050,GRUPO ESPIRITA RAIO DE SOL,Imunidade,Templos Religiosos
479068-5,AV GOV LEONEL BRIZOLA 873  JANGURUSSU FORTALEZA - CE CEP:60866190,I IGREJA BATISTA EM SAO CRISTOVAO,Imunidade,Templos Religiosos
425286-1,R  DA CARAUBA 58  JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60820350,IGREJA ASSEMBLEIA DE DEUS MINISTERIO DEUS E FIEL,Imunidade,Templos Religiosos
456623-8,AV  20 DE JANEIRO 1740  BARRA DO CEARÁ FORTALEZA - CE CEP:60331200,IGREJA ASSEMBLEIA DE DEUS MINISTERIO FILADELFIA,Imunidade,Templos Religiosos
116531-3,AV  C (CONJ. CEARA II) 535  CONJUNTO CEARÁ I FORTALEZA - CE CEP:60533613,IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,Imunidade,Templos Religiosos
278461-0,R  TIBURCIO PEREIRA 614  CAJAZEIRAS FORTALEZA - CE CEP:60864260,IGREJA AVIVAMENTO PENTECOSTAL DA BIBLIA,Imunidade,Templos Religiosos
146538-4,R  DAMIAO FERNANDES 540  AMADEU FURTADO FORTALEZA - CE CEP:60455600,IGREJA BATISTA AGAPE,Imunidade,Templos Religiosos
643635-8,R PRO LINO ENCARNACAO 960  AMADEU FURTADO FORTALEZA - CE CEP:60455515,IGREJA BATISTA AGAPE,Imunidade,Templos Religiosos
276020-7,R GAL CASTELO BRANCO 97  PARQUE MANIBURA FORTALEZA - CE CEP:60733680,IGREJA BATISTA ALVORADA,Imunidade,Templos Religiosos
54232-6,AV PDE ANTONIO TOMAS 2127  ALDEOTA FORTALEZA - CE CEP:60140155,IGREJA BATISTA ALVORADA,Imunidade,Templos Religiosos
54233-4,AV PDE ANTONIO TOMAS 2111  ALDEOTA FORTALEZA - CE CEP:60140155,IGREJA BATISTA ALVORADA,Imunidade,Templos Religiosos
180271-2,R CAP VASCONCELOS 347  ALTO DA BALANÇA FORTALEZA - CE CEP:60851225,IGREJA BATISTA BEREIANA,Imunidade,Templos Religiosos
460927-1,R  DO CRUZEIRO 401  ANCURI FORTALEZA - CE CEP:60874230,IGREJA BATISTA CENTRAL DE FORTALEZA,Imunidade,Templos Religiosos
159807-4,R IR BAZET 853  MONTESE FORTALEZA - CE CEP:60420670,IGREJA BATISTA DA FE,Imunidade,Templos Religiosos
159829-5,R  ALAN KARDEC 888  MONTESE FORTALEZA - CE CEP:60420630,IGREJA BATISTA DA FE,Imunidade,Templos Religiosos
4290-0,R  JOSE CANDIDO 700  SÃO GERARDO FORTALEZA - CE CEP:60325490,IGREJA BATISTA DE MONTE CASTELO,Imunidade,Templos Religiosos
231414-2,R BAR DE SOBRAL 147  MONTESE FORTALEZA - CE CEP:60420775,IGREJA BATISTA DE MONTESE,Imunidade,Templos Religiosos
182871-1,R  CORREGO DAS FLORES 73  VICENTE PINZON FORTALEZA - CE CEP:60175480,IGREJA BATISTA DE MUCURIPE,Imunidade,Templos Religiosos
8829-3,R PAT SAMUEL MUNGUBA 732  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430375,IGREJA BATISTA DE PORANGABUCU,Imunidade,Templos Religiosos
277471-2,R CON BRAVEZA 875  LT 08 QUA 34 CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60822815,IGREJA BATISTA DO CALVARIO DE FORTALEZA,Imunidade,Templos Religiosos
255255-8,R  BARBA ALARDO 565  SERRINHA FORTALEZA - CE CEP:60741040,IGREJA BATISTA DO CORDEIRO,Imunidade,Templos Religiosos
113836-7,R  327 (CONJ. CEARA II) 115  CONJUNTO CEARÁ II FORTALEZA - CE CEP:60530690,IGREJA BATISTA EL SHADAI,Imunidade,Templos Religiosos
165508-6,R  NEREU RAMOS 880  PARANGABA FORTALEZA - CE CEP:60721110,IGREJA BATISTA EMANUEL,Imunidade,Templos Religiosos
390237-4,R  106 (CONJ.ESPERANCA) 226  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763550,IGREJA BATISTA ESPERANCA,Imunidade,Templos Religiosos
283547-9,R  JOSE PEDRA 1435  PARQUE DOIS IRMÃOS FORTALEZA - CE CEP:60743246,IGREJA BATISTA INDEPENDENTE,Imunidade,Templos Religiosos
88465-0,R  A (LOTEAMENTO COLINA) 75  DE LOURDES FORTALEZA - CE CEP:60177450,IGREJA BATISTA LUZ DO MUNDO,Imunidade,Templos Religiosos
88466-9,R  A (LOTEAMENTO COLINA) 53  Q002_L014 DE LOURDES FORTALEZA - CE CEP:60177450,IGREJA BATISTA LUZ DO MUNDO,Imunidade,Templos Religiosos
52440-9,AV DES MOREIRA 2669  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,IGREJA BATISTA MANANCIAL,Imunidade,Templos Religiosos
99480-4,AV  DAS GRAVIOLAS 240  CIDADE 2000 FORTALEZA - CE CEP:60190600,IGREJA BATISTA MARANATA DE FORTALEZA,Imunidade,Templos Religiosos
40008-4,R CAP MELO 3720  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60120095,IGREJA BATISTA MEMORIAL DE FORTALEZA,Imunidade,Templos Religiosos
262348-0,R REV BOLIVAR PINTO BANDEIRA 107  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811310,IGREJA BATISTA REGULAR FILADELFIA,Imunidade,Templos Religiosos
262347-1,R REV BOLIVAR PINTO BANDEIRA 119  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811310,IGREJA BATISTA REGULAR FILADELFIA,Imunidade,Templos Religiosos
606889-8,"R  OLIVEIRA LEMOS 829 LOTE 34,35,36Q2 SÃO BENTO FORTALEZA - CE CEP:60875555",IGREJA BATISTA REGULAR JORDAO,Imunidade,Templos Religiosos
143867-0,R  CHASTINET GUIMARAES 329  VILA ELLERY FORTALEZA - CE CEP:60320275,IGREJA BATISTA RESTAURACAO,Imunidade,Templos Religiosos
630868-6,R  RIO JORDAO 171  JANGURUSSU FORTALEZA - CE CEP:60870730,IGREJA BATISTA RIO JORDAO,Imunidade,Templos Religiosos
885136-0,R CAP GUSTAVO 3552 SALA 01 JOAQUIM TÁVORA FORTALEZA - CE CEP:60120140,IGREJA BETESDA DO CEARÁ,Imunidade,Templos Religiosos
34024-3,R CAP GUSTAVO 3552  JOAQUIM TÁVORA FORTALEZA - CE CEP:60120140,IGREJA BETESDA DO CEARÁ,Imunidade,Templos Religiosos
36686-2,AV  DOS FLAMBOYANTS   Q035 L021 COCÓ FORTALEZA - CE CEP:60190570,IGREJA BETESDA DO CEARÁ,Imunidade,Templos Religiosos
885137-9,R CAP GUSTAVO 3552 SALA 02 JOAQUIM TÁVORA FORTALEZA - CE CEP:60120140,IGREJA BETESDA DO CEARÁ,Imunidade,Templos Religiosos
36687-0,AV  DOS FLAMBOYANTS   L022 Q035 COCÓ FORTALEZA - CE CEP:60190570,IGREJA BETESDA DO CEARÁ,Imunidade,Templos Religiosos
231511-4,R  ROMEU MARTINS 267  MONTESE FORTALEZA - CE CEP:60420720,IGREJA BETESDA DO CEARÁ,Imunidade,Templos Religiosos
709120-6,R  S LOT EXPEDICIONARIOS II   Q016_L001 MONDUBIM FORTALEZA - CE CEP:60761795,IGREJA BETESDA DO CEARÁ,Imunidade,Templos Religiosos
132257-5,R  DUAS NACOES 904  GRANJA PORTUGAL FORTALEZA - CE CEP:60545242,IGREJA BETESDA DO CEARÁ,Imunidade,Templos Religiosos
726007-5,R CAP GUSTAVO 3552  A JOAQUIM TÁVORA FORTALEZA - CE CEP:60120140,IGREJA BETESDA DO CEARÁ,Imunidade,Templos Religiosos
267241-3,R DR JOSE MARTINS RODRIGUES 155  EDSON QUEIROZ FORTALEZA - CE CEP:60811520,IGREJA BIBLICA BATISTA DO PLANALTO,Imunidade,Templos Religiosos
157596-1,R  RAIMUNDO PINHEIRO BASTOS 333  QUINTINO CUNHA FORTALEZA - CE CEP:60350740,IGREJA BIBLICA DO SITIO BOATAN,Imunidade,Templos Religiosos
940117-2,R  A RES JACIARA MUTIRAO 90  BARRA DO CEARÁ FORTALEZA - CE CEP:60000000,IGREJA BIBLICA HERDEIROS DE DEUS,Imunidade,Templos Religiosos
207109-6,R  CANDIDO HOLANDA 65  PARANGABA FORTALEZA - CE CEP:60720360,IGREJA BIBLICA SANTA FE,Imunidade,Templos Religiosos
296936-0,R  ROSA PEREIRA 30  SALA PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60760080,IGREJA CONGREGACIONAL PENTECOSTAL,Imunidade,Templos Religiosos
250331-0,R CON DE CASTRO 3009  MANOEL SÁTIRO FORTALEZA - CE CEP:60713305,IGREJA CRISTA EVANGELICA EBENEZER,Imunidade,Templos Religiosos
99861-3,AL  DAS CHANANAS 298  CIDADE 2000 FORTALEZA - CE CEP:60190300,IGREJA CRISTA EVANGELICA EMANUEL,Imunidade,Templos Religiosos
63815-3,AV MON TABOSA 575  PRAIA DE IRACEMA FORTALEZA - CE CEP:60165011,IGREJA CRISTA EVANGELICA FORTALECENSE,Imunidade,Templos Religiosos
670486-7,R  GUILHERME PERDIGAO 175  PARANGABA FORTALEZA - CE CEP:60720420,IGREJA CRISTA GILEADE PARANGABA,Imunidade,Templos Religiosos
709914-2,R  GUILHERME PERDIGAO 231  PARANGABA FORTALEZA - CE CEP:60720420,IGREJA CRISTA GILEADE PARANGABA,Imunidade,Templos Religiosos
50051-8,R  JOAQUIM MAGALHAES 1220  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,IGREJA CRISTA MARANATA PRESBITERIO ESP SANTENSE,Imunidade,Templos Religiosos
415007-4,AV MON CARNEIRO DA CUNHA 160  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811290,IGREJA CRISTA REI DOS REIS ICRR,Imunidade,Templos Religiosos
